房源编号,名称1,户型,月租,付款方式,租赁方式,面积,朝向,维护,楼层,车位,租期,入住,电梯,描述,地铁站,离地铁站距离,网站,名称,区,街道,小区
房源编号：SH2633134388653080576,整租·绿地香颂(奉贤)(公寓),2室1厅,1800,(季付价),整租,63㎡,北,2天前,中楼层/8层,租用车位,1年以内,随时入住,有,"【房源亮点】<br />
装修房子家电家具都有，拎包入住，卧室朝南，采光好，假期度假的好去处<br />
<br />
【户型介绍】<br />
房子是二室一厅户型，卧室朝南，客厅朝北，卧室阳台大，采光好，适宜夫妻单身居住。<br />
<br />
【交通出行】<br />
周 边交通公交：莘海专线、浦星公路、闵浦大桥、金海路、林海公路。边还有沪金高速S4 。小区现在还有班车直达辛庄（沪海快线 走程高速）新增奉贤29路公交到南桥便利<br />
<br />
【出租原因】<br />
房东购房后未住，一直出租，诚心出租，不打算卖的，方便看房，价格好谈。<br />
<br />
【周边配套】<br />
小区位于海湾旅游区的，小区直线距离东面是是渔人码头和国际风筝放飞场，还有五星棕榈滩大酒店 ，海鲜一条街，也会不定时的举办美食节。在小区的东边三公里有碧海金沙 夏季会举办音乐节。边上还有松声马术射击场。配套游玩比较便利<br />
<br />
【小区介绍】<br />
小区又名绿地海语墅，碧海金沙嘉苑，占地42万方建筑面价34万方的的大型综合社区。科瑞物业 小区绿高（系数越低，居住越舒服）居民用水用电，电 白天0.617 元 KW 晚上0.307 元KW,水3.14元吨。小区物业费 1.4元平房，车位为租<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2633134388653080576.html,"
          整租·绿地香颂(奉贤)(公寓) 2室1厅 北        ",奉贤,海湾,绿地香颂(奉贤)(公寓)
房源编号：SH2639050753020264448,整租·金桥酒店公寓,1室2厅,5100,(季付价),整租,46㎡,南 北,5天前,中楼层/4层,免费使用,2年以内,随时入住,有,"【房源亮点】<br />
一室一厅，面积适中，利用率高，风格温馨清新，居住很舒服。十分适合单身或者小情侣<br />
<br />
【交通出行】<br />
9号线蓝天路地铁站 小区北门对着蓝天路，东门对着红枫路，红枫路可直通杨高中路，交通便利通畅<br />
<br />
【周边配套】<br />
购物：家乐福，迪卡侬 健身：击剑馆，健身房，游泳池 休闲：门口碧云体育公园24小时免费开放，享受每秒绿色清新呼吸 社区：碧云国际社区安静，生活方便，交通畅通无阻，学习氛围好<br />
<br />
【小区介绍】<br />
小区两个大门，红枫路大门为进口，蓝天路大门为出口，正对碧云体育公园，景色宜人，鸟语花香 绿化35%。得房率77%，停车费130元/月或180元/月。<br />
<br />
",9号线 - 蓝天路,1077m,http://sh.lianjia.com/zufang/SH2639050753020264448.html,"
          整租·金桥酒店公寓 1室2厅 南/北        ",浦东,碧云,金桥酒店公寓
房源编号：SH2663802591900868608,整租·世纪之门,1室1厅,4800,(季付价),整租,35㎡,东北,7天前,中楼层/25层,暂无数据,暂无数据,2021/6/7,有,无信息,13号线 - 江宁路,526m,http://sh.lianjia.com/zufang/SH2663802591900868608.html,"
          整租·世纪之门 1室1厅 东北        ",普陀,长寿路,世纪之门
房源编号：SH2347691664950435840,整租·同润菲诗艾伦,2室1厅,3400,(季付价),整租,55㎡,东,11天前,低楼层/16层,暂无数据,暂无数据,2021/5/15,有,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2347691664950435840.html,"
          整租·同润菲诗艾伦 2室1厅 东        ",松江,泗泾,同润菲诗艾伦
房源编号：SH2335982314745765888,整租·小红楼,2室2厅,6690,(季付价),整租,88㎡,南 北,21天前,高楼层/6层,暂无数据,暂无数据,随时入住,无,无信息,6号线 - 灵岩南路,863m,http://sh.lianjia.com/zufang/SH2335982314745765888.html,"
          整租·小红楼 2室2厅 南/北        ",浦东,杨思前滩,小红楼
房源编号：SH2505634257134174208,整租·英郡雷丁小城,4室2厅,17500,(季付价),整租,197㎡,南,今天,低楼层/3层,免费使用,2年以内,随时入住,无,"【交通出行】<br />
小区门口50米就是公交站，153路，莘松B线都是直达莘庄地铁站，1842路，1814路到九亭地铁站，莘松B线直达松江大学城地铁站。<br />
<br />
【周边配套】<br />
小区北面是松江临港漕河泾开发区，都是写字楼。小区东边是是拉菲尔云廊，拉斐尔是一个综合体，下面三层是步行街，上面办公和 酒店，距小区1公里处为棕榈广场，是集餐饮购物、演艺等多功能为一体的时尚休闲文化娱乐，小区门口也有一条自带的步行街。<br />
<br />
【小区介绍】<br />
雷丁小城是一个纯别墅小区，建筑类型为叠加，双拼，类独栋。绿化为35%，环境宜居，私密性强。一期是08年竣工的，二期是10年竣工的。每户自带车库，景观有草坪花卉、种植树木木凳、凉亭等组成采用新中式园林造景，物业是乔爱物业。<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2505634257134174208.html,"
          整租·英郡雷丁小城 4室2厅 南        ",松江,新桥,英郡雷丁小城
房源编号：SH2485496094914781184,整租·瑞金二路225弄,4室3厅,49000,(季付价),整租,164㎡,南 北,8天前,低楼层/1层,暂无数据,2年以内,随时入住,无,"【装修描述】<br />
业主之前一直自住，配置都是自用家具，看房方便，得房率过100.使用面积很高。<br />
<br />
【交通出行】<br />
这套近路30米左右，自驾十分方便，另外这个是不沿街的，环境很好，比较安静舒适。<br />
<br />
【出租原因】<br />
业主买了大宅，这套目前空置出来，希望找一个爱惜房子的客户来维护房子。<br />
<br />
",9号线 - 打浦桥,136m,http://sh.lianjia.com/zufang/SH2485496094914781184.html,"
          整租·瑞金二路225弄 4室3厅 南/北        ",黄浦,打浦桥,瑞金二路225弄
房源编号：SH2538485047745314816,整租·新福康里(别墅),7室2厅,45000,(季付价),整租,218㎡,南,13天前,低楼层/3层,租用车位,暂无数据,随时入住,无,"【户型介绍】<br />
地上三层，坐向朝南，每层都有独立的空间，每个隔间都有窗户，采光无遮挡<br />
<br />
【装修描述】<br />
联排别墅，地上三层，目前没有家具，之前用作办公，所以装修风格是有一些隔间的<br />
<br />
【交通出行】<br />
交通便利，步行10minute可达汉中路地铁站（1号线，12号线，13号线）；步行12minute可达南京西路地铁站（2号线 ，12号线，13号线）；步行8minute可达自然博物馆站13号线；还有多条公交线经过；<br />
<br />
【小区介绍】<br />
01年小区，海派风格和石库门风格相结合，2000年静安区明星小区，人文历史丰富<br />
<br />
",13号线 - 自然博物馆,436m,http://sh.lianjia.com/zufang/SH2538485047745314816.html,"
          整租·新福康里(别墅) 7室2厅 南        ",静安,南京西路,新福康里(别墅)
房源编号：SH2570820833207656448,整租·碧云东方公寓,3室2厅,16000,(季付价),整租,143㎡,南,今天,高楼层/11层,租用车位,3年以内,随时入住,有,"【装修描述】<br />
碧云东方公寓的精装三房，采光很好，长期出租，房子保养还可以。<br />
<br />
【交通出行】<br />
1052路、609路、987路、申川专线、地铁9号线、地铁14号线（在建）<br />
<br />
【周边配套】<br />
配套齐全，金桥购物、家乐福超市、百安居家居超市、中国银行、工商银行。中欧国际工商学院(红枫路分部)、上海市实验东校、上海德威英国国际、香山、冰厂田(碧云部)、浦东东方(仁恒部)。瑞东医院、华山医院、以及妇幼保健院<br />
<br />
【小区介绍】<br />
小区2005年建造，物业公司是星际物业，物业费3.35元，绿化35%，地上地下车位充足，停车费500元/月。小区环境很好，很安静，治理也很好，居住起来十分舒适。<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2570820833207656448.html,"
          整租·碧云东方公寓 3室2厅 南        ",浦东,碧云,碧云东方公寓
房源编号：SH2544828379300110336,整租·半岛豪门(别墅),4室2厅,25000,(季付价),整租,351㎡,南,今天,低楼层/3层,免费使用,3年以内,随时入住,无,"【装修描述】<br />
简单装修，小区干净整洁，居住环境舒适，近地铁12号线虹莘路站。品质生活，你值得拥有！<br />
<br />
【交通出行】<br />
地铁12号线、122路、150路、古美环线外圈、古美环线内圈、732路等。<br />
<br />
【周边配套】<br />
新世纪虹莘幼儿园、上海实验西校区、上海市文来校区、古美社区服务站、古美儿科医院、百联南方购物广场等。<br />
<br />
【小区介绍】<br />
小区坐落于闵行区虹莘路1955弄，西接外环线，北邻顾戴路，以“西风东韵”为主题，注重环境的舒适颐神。<br />
<br />
",12号线 - 虹莘路,129m,http://sh.lianjia.com/zufang/SH2544828379300110336.html,"
          整租·半岛豪门(别墅) 4室2厅 南        ",闵行,古美,半岛豪门(别墅)
